Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,0.9733727810650887,0.9733727810650887,0.9733727810650887,0.9700698370468905,0.021486759185791016,"{'SHAP': array([[-0.00467403,  0.00467403],
       [-0.00498369,  0.00498369],
       [-0.00439711,  0.00439711],
       [-0.0097515 ,  0.0097515 ],
       [-0.0016659 ,  0.0016659 ],
       [ 0.        ,  0.        ],
       [ 0.00528598, -0.00528598],
       [-0.01238467,  0.01238467],
       [ 0.00495515, -0.00495515],
       [-0.00214907,  0.00214907],
       [ 0.0014108 , -0.0014108 ],
       [-0.00061619,  0.00061619]])}"
RandomForest,0.9812206572769953,0.9893491124260355,0.985268120212139,0.983372131692717,0.3664727210998535,"{'SHAP': array([[-6.11901064e-03,  6.11901064e-03],
       [-1.37906884e-03,  1.37906884e-03],
       [-3.49514300e-03,  3.49514300e-03],
       [-7.91190223e-03,  7.91190223e-03],
       [-3.62705687e-03,  3.62705687e-03],
       [-7.32401064e-04,  7.32401064e-04],
       [ 1.97937313e-03, -1.97937313e-03],
       [-6.19865314e-03,  6.19865314e-03],
       [ 1.69936814e-05, -1.69936814e-05],
       [-2.86558031e-04,  2.86558031e-04],
       [-9.40650150e-04,  9.40650150e-04],
       [-1.86894247e-03,  1.86894247e-03]])}"
Logistic Regression,0.7622211675367822,0.9502958579881656,0.8459309981564392,0.8054539408047888,0.023129701614379883,"{'SHAP': array([[-3.83447814e-04,  3.83447814e-04],
       [ 1.92167704e-04, -1.92167704e-04],
       [-1.56974751e-03,  1.56974751e-03],
       [-6.21750335e-04,  6.21750335e-04],
       [-1.23810548e-04,  1.23810548e-04],
       [ 8.74484629e-04, -8.74484629e-04],
       [-5.41762741e-04,  5.41762741e-04],
       [-1.83689184e-02,  1.83689184e-02],
       [-1.25135797e-04,  1.25135797e-04],
       [-6.87957488e-03,  6.87957488e-03],
       [-7.86244849e-05,  7.86244849e-05],
       [-9.41433678e-07,  9.41433678e-07]])}"
Naive Bayes,0.9118387909319899,0.21420118343195266,0.3469094393866794,0.5467243099434652,0.005756855010986328,"{'SHAP': array([[-1.40535636e-03,  1.40535636e-03],
       [ 1.02571493e-02, -1.02571493e-02],
       [ 9.16458852e-06, -9.16458852e-06],
       [-1.03947507e-03,  1.03947507e-03],
       [-5.42529972e-03,  5.42529972e-03],
       [ 2.03947066e-02, -2.03947066e-02],
       [ 1.53857878e-02, -1.53857878e-02],
       [-1.08021679e-03,  1.08021679e-03],
       [-6.51275982e-04,  6.51275982e-04],
       [-3.11691022e-04,  3.11691022e-04],
       [-5.25556651e-04,  5.25556651e-04],
       [ 5.98915480e-04, -5.98915480e-04]])}"
MLP,0.8914127423822714,0.9520710059171598,0.9207439198855507,0.9078816095776522,12.666761875152588,"{'SHAP': array([[-5.16107616e-03,  5.16107616e-03],
       [ 8.04128672e-03, -8.04128672e-03],
       [-3.23226463e-03,  3.23226463e-03],
       [-3.23234816e-03,  3.23234816e-03],
       [-2.54505899e-03,  2.54505899e-03],
       [-5.45775102e-03,  5.45775102e-03],
       [ 9.65142832e-03, -9.65142832e-03],
       [-2.00147132e-02,  2.00147132e-02],
       [ 5.43615760e-03, -5.43615760e-03],
       [ 1.43103496e-03, -1.43103496e-03],
       [-3.72685904e-03,  3.72685904e-03],
       [ 2.63914670e-05, -2.63914670e-05]])}"
Stochastic Gradient Descent,0.8784624081401922,0.919526627218935,0.8985255854293149,0.8832723644828733,0.0156705379486084,"{'SHAP': array([[-4.35612710e-04,  4.35612710e-04],
       [ 2.35019660e-04, -2.35019660e-04],
       [-2.03005365e-03,  2.03005365e-03],
       [-6.81257905e-04,  6.81257905e-04],
       [-1.52310035e-04,  1.52310035e-04],
       [ 7.41552275e-04, -7.41552275e-04],
       [-7.48410711e-04,  7.48410711e-04],
       [-2.00031414e-02,  2.00031414e-02],
       [-7.76270230e-04,  7.76270230e-04],
       [-6.00649615e-03,  6.00649615e-03],
       [-1.08064297e-04,  1.08064297e-04],
       [-1.85291628e-06,  1.85291628e-06]])}"
ADA Boost,0.9734513274336283,0.9763313609467456,0.9748892171344165,0.9717326238776189,0.6418991088867188,"{'SHAP': array([[-2.94400222e-04,  2.94400222e-04],
       [ 4.43517684e-04, -4.43517684e-04],
       [ 1.09779628e-04, -1.09779628e-04],
       [-6.11640866e-04,  6.11640866e-04],
       [-4.82364357e-04,  4.82364357e-04],
       [-7.07268940e-05,  7.07268940e-05],
       [ 9.35771530e-05, -9.35771530e-05],
       [-5.19870555e-04,  5.19870555e-04],
       [ 3.32924324e-04, -3.32924324e-04],
       [ 0.00000000e+00,  0.00000000e+00],
       [-2.81304878e-04,  2.81304878e-04],
       [ 2.06608369e-05, -2.06608369e-05]])}"
Gradient Boosting,0.9776207302709069,0.9822485207100592,0.9799291617473436,0.9773860991020951,2.627213478088379,"{'SHAP': array([[-0.00056144,  0.00056144],
       [ 0.00298448, -0.00298448],
       [-0.00415718,  0.00415718],
       [-0.01059093,  0.01059093],
       [-0.00213658,  0.00213658],
       [-0.00092216,  0.00092216],
       [ 0.00245191, -0.00245191],
       [-0.00939846,  0.00939846],
       [-0.00028231,  0.00028231],
       [-0.00017122,  0.00017122],
       [-0.0003244 ,  0.0003244 ],
       [-0.00111565,  0.00111565]])}"
XGBoost,0.9818075117370892,0.9899408284023669,0.9858573954036536,0.9840372464250083,136.020751953125,"{'SHAP': array([[-0.00475774,  0.00475774],
       [-0.00030633,  0.00030633],
       [-0.00568045,  0.00568045],
       [-0.01560195,  0.01560195],
       [-0.00375795,  0.00375795],
       [ 0.        ,  0.        ],
       [ 0.00162154, -0.00162154],
       [-0.00693238,  0.00693238],
       [ 0.00059682, -0.00059682],
       [ 0.        ,  0.        ],
       [ 0.00098955, -0.00098955],
       [-0.00041818,  0.00041818]])}"
LightGBM,0.982373678025852,0.9893491124260355,0.9858490566037736,0.9840372464250083,12.029494762420654,"{'SHAP': array([[-1.81547918e-03,  1.81547918e-03],
       [ 3.77462044e-04, -3.77462044e-04],
       [-4.44445529e-03,  4.44445529e-03],
       [-1.47475057e-02,  1.47475057e-02],
       [-6.44769025e-03,  6.44769025e-03],
       [-3.61515806e-05,  3.61515806e-05],
       [ 1.73662926e-03, -1.73662926e-03],
       [-3.41157646e-03,  3.41157646e-03],
       [-3.76159027e-03,  3.76159027e-03],
       [-3.87917017e-05,  3.87917017e-05],
       [ 1.52910933e-04, -1.52910933e-04],
       [-6.62384567e-04,  6.62384567e-04]])}"
CatBoost,0.9741480611045829,0.9810650887573964,0.9775943396226414,0.9747256401729298,0.2936885356903076,"{'SHAP': array([[-1.10361857e-03,  1.10361857e-03],
       [ 5.35347040e-03, -5.35347040e-03],
       [-3.06067217e-03,  3.06067217e-03],
       [-6.06993021e-03,  6.06993021e-03],
       [-1.16748661e-03,  1.16748661e-03],
       [-3.37091715e-05,  3.37091715e-05],
       [ 2.83723476e-03, -2.83723476e-03],
       [-1.45391984e-02,  1.45391984e-02],
       [ 1.37037081e-03, -1.37037081e-03],
       [ 8.86045584e-05, -8.86045584e-05],
       [-1.60839885e-04,  1.60839885e-04],
       [-9.30751617e-04,  9.30751617e-04]])}"
DNN,0.8838150289017341,0.9047337278106509,0.8941520467836257,0.879614233455271,4.46881628036499,{'SHAP': array([0.02673868])}
CNN,0.8640303358613218,0.9437869822485208,0.9021493212669683,0.8849351513136016,2.1250765323638916,{'SHAP': None}
RNN,0.8596792668957618,0.8881656804733727,0.8736903376018627,0.8556701030927835,8.879886150360107,{'SHAP': None}
